"Discount (%s)","Desconto (%s)"
"Discount","Total dos descontos"
"Discounts total","Total dos descontos"
"Discount by_percent","Desconto (Normal/Progresivo)"
"Discount buy_x_get_y","Bonificação (Brinde ou Bonificação)"
"Desconto condiçao de pagamento","Financeiro (Condição de Pagamento)"
"Grand Total","Total"
"gwap_boleto","Boleto Bancário"
"Shipping & Handling","Envio e Manuseio"
"Subtotal","Subtotal"
"You must accept our terms to continue.","Você precisa aceitar os termos e condições."
"Select the payment method","Selecione uma forma de pagamento"