"Apply to all customers","Aplicar para todos os usuários"
"Associated customers","Clientes associados"
"Attribute","Atributo"
"Automatically Choose Premier Commercial Policy","Escolher automaticamente a Politica Comercial da Premier"
"Days from last order","Validade após o último pedido (dias)"
"Default","Padrão"
"Description","Descrição"
"Edit Premier Commercial Policy","Editar Política comercial da Premier"
"First Sale Only","Somente	 na primeira compra"
"From","De"
"Ignore Promos","Ignorar outras promoções"
"Integration","Integração"
"Is mix?","É um mix?"
"Name","Nome"
"New Group","Novo Grupo"
"Only for customers of the selected website","Aplicável somente para os clientes do site selecionado"
"Only on order nº","Aplicar no pedido Num"
"Premier Commercial Policy","Política comercial da Premier"
"Promos","Promoções"
"Rule Type","Tipo de promoçao"
"Salesrule","Campanha"
"SalesRule","Campanha"
"Stallment discount amount","Total do desconto a prazo"
"Stop payment conditions discount","Nao aplicar desconto para condições de pagamento"
"Special SalesRules","Promoções especiais"
"To","Até"
"Type","Tipo"
"Use 0 (zero) for anyone","Deixe 0 (zero) para qualquer pedido"
"Use 0 (zero) for infinite","Deixe  0 (zero) para dias infinitos"
"Weight","Peso"