"Zip/Postal Code","CEP"
"State/Province","Estado"
"Billing address","Endereço"
"Ship to the same address","Enviar para o mesmo endereço"
"Shipping method","Método de envio"
"Payment method","Método de pagamento"
"Review your order","Revise seu pedido"
"Product","Produto"
"Qty","Qtde"
"Subtotal","Subtotal"
"Grand total","Total"
"Place order now", "Finalizar compra"
"Please choose a shipping method.","Por favor, escolha uma método de envio."
"Please choose a payment method.","Por favor, escolha um método de envio."
"Please check red fields below and try again.","Por favor, verifique os campos em vermelho e tente novamente."
"Coupon code:","Cupom de desconto:"
"Shipping address","Endereço de envio"
"Please wait, processing your order...", "Por favor, espere, processando pedido..."
"Please select region, state or province", "Selecione"
"First Name", "Nome"
"Last Name", "Sobrenome"
"Shipping","Envio"
"City","Cidade"
"Telephone","Telefone"
"Street Address 1","Logradouro"
"Street Address 2","Nº"
"Street Address 4","Referência"
"Company Name","Razão Social"
"Mobilephone","Celular"
"District","Bairro"
"item in cart.","Itens no carrinho"
"Continue Shopping","Continuar Comprando"
"Shopping Cart","Carrinho de Compras"
"Sales Rep address","Endereço do Representante Comercial"
"The used address will the registered in chosen customer account.","O endereço usado será o cadastrado na conta do cliente escolhido."
"Customer Discount:","Possui Cupom?"
"Customer condition","Condições do cliente"
"Customer information","Informações do cliente"
"Sales Rep","Representante comercial"
"Update Cart", "Atualizar Carrinho"
"You need to complete your data to use the '%s'.","Você precisa completar seu cadastro para escolher o '%s'"
"Store information", "Informações da Loja"
"I accept the <a id='onestepcheckout-toc-link' target='_blank' href='javascript://'>Terms and Conditions</a>","Eu aceito os <a id='onestepcheckout-toc-link' target='_blank' href='javascript://'>Termos e condições</a>"
"You need to have products in your cart to checkout, and your cart is empty.","Adicione produtos no carrinho para finalizar a compra."