"%d Review(s)","%d avaliação(ões)"
"%s Review(s)","%s avaliação(ões)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar nova avaliação"
"Add Your Review","Faça uma avaliação"
"Administrator","Administrador"
"All Reviews","Todas avaliações"
"All Reviews of Customer `%s`","Todas as avaliações do cliente '%s'"
"Allow Guests to Write Reviews","Permitir que visitantes escrevam avaliações"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Média de avaliação de clientes"
"Average Customer Rating:","Média de avaliação de clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar para informações principais do produto"
"Back to My Reviews","Voltar para minhas avaliações"
"Back to Product Reviews","Voltar para avaliações de produto"
"Be the first to review this product","Faça uma avaliação"
"Catalog Product Review View","Visão da avaliação do catálogo do produto"
"Catalog Product Reviews List","Lista de avaliações do catálogo do produto"
"Created On","Criado em"
"Customer","Cliente"
"Customer My Account Product Reviews","Opiniões de produto da minha conta de cliente"
"Customer My Account Review Details","Detalhes de avaliação da minha conta de cliente"
"Customer Reviews","Opiniões do cliente"
"Delete","Excluir"
"Delete Review","Excluir avaliação"
"Detailed Rating","Classificação detalhada"
"Edit Review '%s'","Editar avaliação '%s'"
"Guest","Visitante"
"How do you rate %s","Escreva sua avaliação para %s"
"How do you rate this product?","Como você classifica este produto?"
"ID","ID"
"Manage Ratings","Gerenciar votos"
"My Product Reviews","Minhas Avaliações de Produtos"
"My Recent Reviews","Minhas avaliações recentes"
"Name","Nome"
"Name in Store","Nome na loja"
"New Review","Nova avaliação"
"Nickname","Apelido"
"Pending Reviews","Opiniões pendentes"
"Pending Reviews of Customer `%s`","Opiniões de clientes pendentes '%s'"
"Please select a product","Por favor, selecione um produto"
"Please select one of each of the ratings above","Por favor, selecione uma das avaliações acima"
"Posted By","Publicado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do produto"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Product Review (submitted on %s):","avaliação do produto (enviado em %s):"
"Product Reviews","Opiniões dos produtos"
"Product SKU","Código do produto"
"Qty","Qtde"
"Rating:","Classificação:"
"Review","avaliação"
"Review (submitted on %s):","avaliação (enviado em %s):"
"Review Details","Detalhes da avaliação"
"Review by <span>%s</span>","Analisado por <span>%s</span>"
"Review this product","Avalie"
"Reviews and Ratings","Opiniões e avaliações"
"SKU","Código do produto"
"Save Review","Salvar avaliação"
"Status","Status"
"Submit Review","Enviar avaliação"
"Summary Rating","Sumário de classificação"
"Summary of Review","Sumário da avaliação"
"Summary of Your Review","Titulo"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Não foi possível enviar a avaliação."
"Update Status","Atualizar status"
"View All Reviews","Ver todas avaliações"
"View Details","Ver detalhes"
"Visible In","Visível em"
"Websites","Websites"
"Write Your Own Review","Escrever sua avaliação"
"You have submitted no reviews.","Você não enviou avaliações."
"You're reviewing:","Você está revendo:"
"Your Rating:","Sua classificação:"
"Your Review (submitted on %s):","Sua avaliação (enviada em %s):"
"Your review has been accepted for moderation.","Sua avaliação será liberada em breve! Obrigada pela sua contribuição!"
"Review(s)","Avaliação(ões)"
"Write your review","Escreva sua avaliação"