"General","General"
"Enable easy flags","Enable easy flags"
"Check items to add to the cart or","Check items to add to the cart or"
"Add to Wishlist","Add to Wishlist"
"Review by %s","Review by %s"
"(Posted on %s)","(Posted on %s)"
"Other people marked this product with these tags:","Other people marked this product with these tags:"
"Add Your Tags:","Add Your Tags:"
"Add Tags","Add Tags"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"Email to a Friend","Email to a Friend"
"Reviews (%s)","Avaliações (%s)"
"Review by %s","Avaliado por %s"
"Reviews&nbsp;({{eval code=""getReviewsCollection()->count()""}})","Avaliações&nbsp;({{eval code=""getReviewsCollection()->count()""}})"