3|1 DIA|1|1|0|300|0|0|0|0|
13|1/28 DIAS|1|2|27|600|0|0|3|0|
5|10 DIAS|10|1|0|300|0|0|0|0|
15|10/20 DIAS|10|2|10|600|0|0|3|0|
45|10/30/50/70 DIAS|10|4|20|1200|0|0|6|0|
6|14 DIAS|14|1|0|300|0|0|0|0|
16|14/21 DIAS|14|2|7|600|0|0|3|0|
26|14/21/28 DIAS|14|3|7|900|0|0|3|0|
29|14/21/28/35 DIAS|14|4|7|1200|0|0|3|0|
31|14/21/28/35/42 DIAS|14|5|7|1500|0|0|3|0|
35|14/21/28/35/42/49 DIAS|14|6|7|1800|0|0|3|0|
37|14/21/28/35/42/49/56 DIAS|14|7|7|2100|0|0|3|0|
47|14/21/28/35/42/49/56/63/70 DIA|14|9|7|2700|0|0|6|0|
17|14/28 DIAS|14|2|7|600|0|0|3|0|
32|14/28/42 DIAS|14|3|7|900|0|0|3|0|
38|14/28/42/56 DIAS|14|4|7|1200|0|0|3|0|
43|15/30/45/60 DIAS|15|4|15|1200|0|0|6|0|
39|20/30/40/50 DIAS|20|4|10|1200|0|0|3|0|
46|20/40/60 DIAS|20|3|20|900|0|0|6|0|
7|21 DIAS|21|1|0|300|0|0|3|0|
18|21/28 DIAS|21|2|7|600|0|0|3|0|
33|21/28/35 DIAS|21|3|7|900|0|0|3|0|
36|21/28/35/42 DIAS|21|4|7|1200|0|0|3|0|
40|21/28/35/42/49 DIAS|21|5|7|1500|0|0|3|0|
48|21/28/35/42/49/56/63 DIAS|21|7|7|2100|0|0|6|0|
19|21/35 DIAS|21|2|14|600|0|0|3|0|
49|21/35/49/63 DIAS|21|4|14|1200|0|0|6|0|
20|21/42 DIAS|21|2|21|600|0|0|3|0|
50|21/42/63 DIAS|21|3|21|900|0|0|6|0|
41|25/35/45 DIAS|25|3|10|900|0|0|3|0|
1|28 DIAS|28|1|0|300|0|0|3|0|
21|28/35 DIAS|28|2|7|600|0|0|3|0|
42|28/35/42 DIAS|28|3|7|900|0|0|3|0|
44|28/35/42/49 DIAS|28|4|7|1200|0|0|6|0|
51|28/35/42/49/56 DIAS|28|5|7|1500|0|0|6|0|
22|28/42 DIAS|28|2|14|600|0|0|3|0|
52|28/42/56 DIAS|28|3|14|900|0|0|6|0|
23|28/56 DIAS|28|2|35|600|0|0|6|0|
8|30 DIAS|30|1|0|300|0|0|3|0|
124|30/45 DIAS|30|2|15|600|0|0|6|0|
9|35 DIAS|35|1|0|300|0|0|3|0|
66|35/42 DIAS|35|2|7|600|0|0|3|0|
53|35/42/49 DIAS|35|3|7|900|0|0|6|0|
10|42 DIAS|42|1|0|300|0|0|6|0|
4|7 DIAS|7|1|0|300|0|0|0|0|
2|7/14 DIAS|7|2|7|600|0|0|0|0|
25|7/14/21 DIAS|7|3|7|900|0|0|0|0|
27|7/14/21/28 DIAS|7|4|7|1200|0|0|3|0|
28|7/14/21/28/35 DIAS|7|5|7|1500|0|0|3|0|
30|7/14/21/28/35/42 DIAS|7|6|7|1800|0|0|3|0|
34|7/14/21/28/35/42/49 DIAS|7|7|7|2100|0|0|3|0|
14|7/21 DIAS|7|2|14|600|0|0|0|0|